Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
16.120198,110.625,1989-05-04,111.125,110.25,110.50,IBM,3936000
15.938049,109.375,1989-05-05,111.375,109.125,111.25,IBM,5777200
15.956264,109.50,1989-05-08,109.75,108.625,109.125,IBM,5288000
15.992694,109.75,1989-05-09,110.125,109.125,109.375,IBM,6089600
15.974479,109.625,1989-05-10,110.25,109.625,110.00,IBM,5157600
15.901619,109.125,1989-05-11,109.875,109.00,109.875,IBM,4770400
16.138413,110.75,1989-05-12,111.25,110.25,111.00,IBM,6883600
16.429852,112.75,1989-05-15,112.875,110.625,110.875,IBM,8061200
16.229488,111.375,1989-05-16,113.125,111.25,112.50,IBM,8015200
16.247702,111.50,1989-05-17,111.875,110.25,111.375,IBM,7227600
16.320562,112.00,1989-05-18,112.50,110.625,110.75,IBM,6972000
16.193058,111.125,1989-05-19,112.50,110.875,112.25,IBM,11465200
16.010909,109.875,1989-05-22,111.875,109.25,111.625,IBM,7728000
15.956264,109.50,1989-05-23,109.875,109.125,109.25,IBM,8030400
15.992694,109.75,1989-05-24,110.125,109.375,109.50,IBM,6724000
15.974479,109.625,1989-05-25,110.25,109.50,109.50,IBM,3919200
15.956264,109.50,1989-05-26,110.00,109.25,109.625,IBM,3366400
15.774115,108.25,1989-05-30,109.75,107.50,109.625,IBM,6532400
15.974479,109.625,1989-05-31,110.125,107.875,108.125,IBM,6944400
16.029124,110.00,1989-06-01,110.75,109.50,109.50,IBM,5605600
16.047338,110.125,1989-06-02,110.875,109.625,110.50,IBM,6460800
15.883404,109.00,1989-06-05,110.125,108.75,110.125,IBM,5078800
15.974479,109.625,1989-06-06,109.75,108.625,109.125,IBM,7084400
15.956264,109.50,1989-06-07,110.375,109.125,109.75,IBM,4569200
15.919834,109.25,1989-06-08,109.625,108.75,109.625,IBM,5085600
15.79233,108.375,1989-06-09,109.50,108.375,109.00,IBM,5567200
15.865189,108.875,1989-06-12,109.00,107.50,107.50,IBM,7675200
16.174843,111.00,1989-06-13,111.625,108.50,109.00,IBM,9296000
16.083768,110.375,1989-06-14,111.50,109.625,111.25,IBM,4780800
15.938049,109.375,1989-06-15,110.50,108.50,110.375,IBM,6276400
15.956264,109.50,1989-06-16,109.625,108.375,108.875,IBM,10901200
16.083768,110.375,1989-06-19,110.50,109.625,109.625,IBM,4937600
15.956264,109.50,1989-06-20,111.25,109.375,110.25,IBM,4722000
15.992694,109.75,1989-06-21,110.375,109.375,109.875,IBM,5136400
15.901619,109.125,1989-06-22,109.875,108.50,109.625,IBM,6168400
16.156628,110.875,1989-06-23,111.125,109.625,110.00,IBM,8511600
